iter	Passed	Remaining
0	191	191466
1	197	98439
2	202	67357
3	205	51192
4	208	41460
5	211	34956
6	213	30299
7	216	26834
8	219	24143
9	221	21967
10	224	20189
11	227	18731
12	229	17426
13	231	16288
14	232	15298
15	234	14406
16	235	13627
17	237	12929
18	238	12296
19	239	11731
20	240	11221
21	241	10754
22	243	10323
23	244	9940
24	245	9578
25	246	9240
26	247	8928
27	248	8638
28	249	8369
29	250	8115
30	252	7881
31	253	7660
32	254	7451
33	255	7257
34	256	7071
35	257	6896
36	258	6736
37	260	6582
38	261	6432
39	262	6291
40	263	6158
41	264	6030
42	265	5908
43	266	5791
44	267	5678
45	268	5571
46	269	5468
47	270	5373
48	272	5281
49	273	5193
50	274	5105
51	275	5024
52	276	4942
53	277	4864
54	278	4790
55	279	4718
56	281	4648
57	282	4580
58	283	4516
59	284	4453
60	285	4396
61	286	4338
62	287	4281
63	288	4225
64	290	4172
65	291	4119
66	292	4068
67	293	4018
68	294	3972
69	295	3925
70	296	3879
71	297	3835
72	298	3794
73	299	3753
74	301	3717
75	302	3677
76	303	3636
77	304	3597
78	305	3559
79	306	3524
80	307	3490
81	308	3455
82	309	3417
83	310	3386
84	311	3355
85	312	3323
86	313	3294
87	315	3266
88	316	3240
89	317	3210
90	318	3182
91	319	3156
92	321	3131
93	322	3105
94	323	3079
95	324	3055
96	325	3031
97	326	3006
98	327	2981
99	328	2957
100	329	2936
101	330	2913
102	331	2890
103	332	2868
104	334	2846
105	335	2825
106	336	2804
107	337	2784
108	338	2764
109	339	2745
110	340	2726
111	341	2708
112	342	2690
113	343	2672
114	344	2654
115	346	2639
116	347	2621
117	348	2603
118	349	2587
119	350	2571
120	351	2555
121	352	2537
122	353	2520
123	354	2504
124	355	2488
125	356	2473
126	357	2456
127	358	2441
128	359	2428
129	360	2414
130	361	2399
131	362	2385
132	363	2370
133	364	2356
134	365	2343
135	366	2330
136	367	2316
137	368	2304
138	369	2291
139	370	2278
140	372	2266
141	372	2252
142	374	2241
143	375	2230
144	376	2219
145	377	2208
146	378	2196
147	379	2184
148	380	2174
149	381	2163
150	382	2153
151	384	2142
152	385	2131
153	386	2121
154	387	2111
155	388	2102
156	389	2092
157	390	2082
158	391	2072
159	392	2063
160	393	2052
161	394	2043
162	396	2033
163	397	2023
164	398	2014
165	399	2005
166	400	1996
167	401	1987
168	402	1978
169	403	1972
170	405	1963
171	406	1954
172	407	1946
173	408	1937
174	409	1929
175	410	1920
176	411	1912
177	412	1903
178	413	1895
179	414	1888
180	415	1880
181	416	1872
182	417	1865
183	418	1858
184	420	1850
185	421	1842
186	422	1835
187	423	1827
188	424	1820
189	425	1813
190	426	1806
191	427	1799
192	428	1792
193	430	1786
194	431	1779
195	432	1774
196	433	1767
197	434	1760
198	435	1753
199	436	1746
200	437	1740
201	438	1733
202	439	1726
203	440	1719
204	441	1714
205	443	1707
206	444	1701
207	445	1695
208	446	1689
209	447	1683
210	448	1677
211	449	1671
212	450	1665
213	451	1659
214	452	1653
215	453	1647
216	454	1641
217	455	1635
218	456	1629
219	457	1622
220	458	1616
221	459	1611
222	460	1605
223	461	1599
224	462	1594
225	463	1588
226	464	1582
227	465	1576
228	466	1571
229	467	1566
230	468	1561
231	470	1556
232	471	1550
233	471	1544
234	472	1539
235	473	1534
236	474	1528
237	476	1524
238	477	1519
239	478	1514
240	479	1510
241	480	1505
242	481	1501
243	483	1497
244	484	1492
245	485	1487
246	486	1482
247	487	1477
248	488	1473
249	489	1468
250	490	1464
251	491	1460
252	493	1455
253	494	1451
254	495	1446
255	496	1442
256	497	1438
257	498	1433
258	499	1429
259	500	1424
260	501	1420
261	502	1416
262	503	1411
263	504	1407
264	506	1403
265	507	1399
266	508	1395
267	509	1391
268	510	1387
269	511	1383
270	512	1379
271	513	1375
272	514	1371
273	515	1367
274	517	1363
275	518	1358
276	519	1354
277	520	1351
278	521	1348
279	522	1344
280	524	1340
281	525	1337
282	526	1333
283	527	1329
284	528	1325
285	529	1321
286	530	1317
287	531	1313
288	532	1310
289	533	1306
290	535	1303
291	536	1300
292	537	1297
293	538	1293
294	539	1289
295	540	1286
296	541	1282
297	543	1279
298	544	1276
299	545	1272
300	546	1268
301	547	1265
302	548	1261
303	549	1258
304	550	1255
305	551	1251
306	552	1248
307	553	1244
308	555	1241
309	556	1237
310	557	1234
311	558	1230
312	559	1227
313	560	1224
314	561	1220
315	562	1217
316	563	1214
317	564	1211
318	565	1208
319	567	1204
320	568	1201
321	569	1198
322	570	1194
323	571	1191
324	572	1189
325	573	1186
326	574	1183
327	576	1180
328	577	1177
329	579	1176
330	580	1174
331	582	1171
332	583	1167
333	584	1164
334	585	1161
335	586	1158
336	587	1155
337	588	1152
338	589	1149
339	590	1146
340	592	1144
341	593	1141
342	594	1138
343	595	1136
344	596	1133
345	597	1130
346	599	1127
347	600	1124
348	601	1121
349	602	1118
350	603	1115
351	604	1112
352	605	1109
353	606	1106
354	607	1104
355	609	1101
356	610	1099
357	611	1096
358	612	1093
359	613	1090
360	614	1087
361	615	1084
362	616	1082
363	617	1079
364	618	1076
